Sport,League,Home_Team,Away_Team,Scenario,Points,Actual_Points,OU
BASKETBALL,CBB,UC DAVIS,HAWAII,n/a,135.0,134,U
BASKETBALL,CBB,EASTERN ILLINOIS,MOREHEAD STATE,n/a,130.5,139,O
BASKETBALL,CBB,IDAHO,NORTHERN COLORADO,n/a,153.0,153,D
BASKETBALL,CBB,EASTERN WASHINGTON,NORTHERN ARIZONA,n/a,148.5,131,U
BASKETBALL,CBB,OREGON STATE,PEPPERDINE,n/a,142.5,146,O
BASKETBALL,CBB,UC SAN DIEGO,UC SANTA BARBARA,n/a,137.5,140,O
BASKETBALL,CBB,CSUN,LONG BEACH STATE,n/a,147.5,162,O
BASKETBALL,CBB,UC RIVERSIDE,UC IRVINE,n/a,142.5,164,O
BASKETBALL,CBB,PACIFIC,LOYOLA MARYMOUNT,n/a,140.5,141,O
BASKETBALL,CBB,CAL STATE FULLERTON,CSU BAKERSFIELD,n/a,142.5,139,U
BASKETBALL,CBB,PORTLAND STATE,WEBER STATE,n/a,138.0,130,U
BASKETBALL,CBB,SACRAMENTO STATE,IDAHO STATE,n/a,129.5,146,O
BASKETBALL,CBB,PORTLAND,SAN DIEGO,n/a,147.0,174,O
BASKETBALL,CBB,SANTA CLARA,WASHINGTON STATE,n/a,158.5,158,U
BASKETBALL,CBB,CALIFORNIA BAPTIST,UTAH VALLEY,n/a,141.0,143,O
BASKETBALL,NBA,BKN NETS,PHO SUNS,n/a,216.0,192,U
BASKETBALL,NBA,DAL MAVERICKS,MIN TIMBERWOLVES,n/a,215.0,229,O
BASKETBALL,NBA,ATL HAWKS,DET PISTONS,n/a,234.0,218,U
BASKETBALL,NBA,OKC THUNDER,UTA JAZZ,n/a,230.5,237,O
BASKETBALL,NBA,HOU ROCKETS,CLE CAVALIERS,n/a,229.0,217,U
BASKETBALL,NBA,MEM GRIZZLIES,CHA HORNETS,n/a,241.0,252,O
BASKETBALL,NBA,SAC KINGS,GS WARRIORS,n/a,230.0,240,O
BASKETBALL,NBA,LA CLIPPERS,BOS CELTICS,n/a,218.0,230,O
BASKETBALL,CBB,HOUSTON,UTAH,n/a,133.5,106,U
BASKETBALL,CBB,VMI,FURMAN,n/a,143.5,173,O
BASKETBALL,CBB,YOUNGSTOWN STATE,ROBERT MORRIS,n/a,144.0,142,U
BASKETBALL,CBB,TCU,KANSAS,n/a,135.5,135,U
BASKETBALL,CBB,NORTHWESTERN,INDIANA,n/a,139.5,149,O
BASKETBALL,CBB,SOUTH CAROLINA,FLORIDA,n/a,147.0,139,U
BASKETBALL,CBB,GEORGIA TECH,VIRGINIA TECH,n/a,142.5,135,U
BASKETBALL,CBB,UNC GREENSBORO,MERCER,n/a,146.0,157,O
BASKETBALL,CBB,WOFFORD,THE CITADEL,n/a,134.5,147,O
BASKETBALL,CBB,OLD DOMINION,JAMES MADISON,n/a,137.0,134,U
BASKETBALL,CBB,USC UPSTATE,HIGH POINT,n/a,161.5,163,O
BASKETBALL,CBB,CLEVELAND STATE,DETROIT MERCY,n/a,137.5,115,U
BASKETBALL,CBB,UMASS,GEORGE WASHINGTON,n/a,155.5,135,U
BASKETBALL,CBB,ETSU,WESTERN CAROLINA,n/a,142.0,143,O
BASKETBALL,CBB,CHARLOTTE,SOUTH FLORIDA,n/a,144.5,130,U
BASKETBALL,CBB,OAKLAND,PURDUE FORT WAYNE,n/a,144.5,148,O
BASKETBALL,CBB,WRIGHT STATE,MILWAUKEE,n/a,154.0,174,O
BASKETBALL,CBB,AMERICAN,LEHIGH,n/a,135.5,135,U
BASKETBALL,CBB,SOUTHERN ILLINOIS,MURRAY STATE,n/a,137.5,138,O
BASKETBALL,CBB,RADFORD,LONGWOOD,n/a,143.0,151,O
BASKETBALL,CBB,GREEN BAY,IU INDIANAPOLIS,n/a,142.0,163,O
BASKETBALL,CBB,LOYOLA MARYLAND,LAFAYETTE,n/a,137.5,139,O
BASKETBALL,CBB,NAVY,BOSTON UNIVERSITY,n/a,132.0,109,U
BASKETBALL,CBB,GARDNER-WEBB,UNC ASHEVILLE,n/a,161.5,114,U
BASKETBALL,CBB,DRAKE,VALPARAISO,n/a,129.5,152,O
BASKETBALL,CBB,PRESBYTERIAN,CHARLESTON SOUTHERN,n/a,140.0,132,U
BASKETBALL,CBB,NORTH TEXAS,TEMPLE,n/a,130.5,143,O
BASKETBALL,CBB,SAINT LOUIS,LA SALLE,n/a,153.0,116,U
BASKETBALL,CBB,COLORADO STATE,BOISE STATE,n/a,140.0,147,O
BASKETBALL,CBB,EVANSVILLE,ILLINOIS CHICAGO,n/a,142.0,145,O
BASKETBALL,CBB,OLE MISS,TEXAS A&M,n/a,141.0,125,U
BASKETBALL,CBB,NEBRASKA,USC,n/a,143.5,151,O
BASKETBALL,CBB,BAYLOR,KANSAS STATE,n/a,141.0,132,U
BASKETBALL,CBB,ARKANSAS,GEORGIA,n/a,140.0,133,U
BASKETBALL,CBB,UTAH STATE,NEVADA,n/a,141.5,159,O
BASKETBALL,CBB,CALIFORNIA,FLORIDA STATE,n/a,150.0,145,U
BASKETBALL,CBB,AIR FORCE,SAN DIEGO STATE,n/a,129.0,153,O
BASKETBALL,CBB,STANFORD,MIAMI FL,n/a,150.5,139,U
BASKETBALL,NBA,DEN NUGGETS,PHI 76ERS,n/a,232.0,253,O
BASKETBALL,NBA,LA LAKERS,WAS WIZARDS,n/a,228.0,199,U
BASKETBALL,CBB,TEXAS,MISSOURI,n/a,147.5,114,U
BASKETBALL,CBB,SMU,LOUISVILLE,n/a,159.0,171,O
BASKETBALL,CBB,WEST VIRGINIA,ARIZONA STATE,n/a,134.5,122,U
BASKETBALL,CBB,IOWA,MINNESOTA,n/a,151.0,139,U
BASKETBALL,CBB,WAKE FOREST,NORTH CAROLINA,n/a,148.0,133,U
BASKETBALL,CBB,DEPAUL,CREIGHTON,n/a,144.0,122,U
BASKETBALL,CBB,OKLAHOMA STATE,ARIZONA,n/a,153.0,170,O
BASKETBALL,CBB,UCLA,WISCONSIN,n/a,142.0,168,O
BASKETBALL,CBB,OREGON,WASHINGTON,n/a,145.0,153,O
BASKETBALL,CBB,UNLV,WYOMING,n/a,133.0,124,U
BASKETBALL,NBA,CHA HORNETS,DAL MAVERICKS,n/a,221.5,215,U
BASKETBALL,NBA,HOU ROCKETS,DET PISTONS,n/a,223.5,203,U
