Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Actual_Point_Diff,Who_Covered,Winning_Line
FOOTBALL,NFL,JAX JAGUARS,TEN TITANS,n/a,1.0,-1.0,7.0,JAX JAGUARS,1.0
FOOTBALL,NFL,CLE BROWNS,MIA DOLPHINS,n/a,3.0,-3.0,-17.0,MIA DOLPHINS,-3.0
FOOTBALL,NFL,MIN VIKINGS,GB PACKERS,n/a,-1.5,1.5,2.0,MIN VIKINGS,-1.5
FOOTBALL,NFL,WAS COMMANDERS,ATL FALCONS,n/a,-3.5,3.5,6.0,WAS COMMANDERS,-3.5
FOOTBALL,NFL,NE PATRIOTS,LA CHARGERS,n/a,6.0,-6.0,-33.0,LA CHARGERS,-6.0
FOOTBALL,NFL,CIN BENGALS,DEN BRONCOS,n/a,-3.5,3.5,6.0,CIN BENGALS,-3.5
FOOTBALL,NFL,LA RAMS,ARI CARDINALS,n/a,-6.5,6.5,4.0,ARI CARDINALS,6.5
BASKETBALL,NBA,ATL HAWKS,MIA HEAT,n/a,-2.0,2.0,10.0,ATL HAWKS,-2.0
BASKETBALL,NBA,CHA HORNETS,OKC THUNDER,n/a,12.5,-12.5,-12.0,CHA HORNETS,12.5
BASKETBALL,NBA,WAS WIZARDS,NY KNICKS,n/a,12.0,-12.0,-4.0,WAS WIZARDS,12.0
BASKETBALL,NBA,CHI BULLS,MIL BUCKS,n/a,3.5,-3.5,5.0,CHI BULLS,3.5
BASKETBALL,NBA,GS WARRIORS,PHO SUNS,n/a,-6.5,6.5,4.0,PHO SUNS,6.5
BASKETBALL,NBA,DEN NUGGETS,DET PISTONS,n/a,-5.5,5.5,13.0,DEN NUGGETS,-5.5
BASKETBALL,NBA,UTA JAZZ,PHI 76ERS,n/a,5.5,-5.5,-3.0,UTA JAZZ,5.5
BASKETBALL,NBA,POR TRAIL BLAZERS,DAL MAVERICKS,n/a,5.0,-5.0,4.0,POR TRAIL BLAZERS,5.0
BASKETBALL,NBA,LA LAKERS,SAC KINGS,n/a,-1.0,1.0,10.0,LA LAKERS,-1.0
FOOTBALL,CFB,VANDERBILT,GEORGIA TECH,n/a,2.5,-2.5,8.0,VANDERBILT,2.5
FOOTBALL,CFB,ARKANSAS,TEXAS TECH,n/a,2.5,-2.5,13.0,ARKANSAS,2.5
FOOTBALL,CFB,USC,TEXAS A&M,n/a,3.5,-3.5,4.0,USC,3.5
BASKETBALL,NBA,ORL MAGIC,NY KNICKS,n/a,7.0,-7.0,-23.0,NY KNICKS,-7.0
BASKETBALL,NBA,BOS CELTICS,IND PACERS,n/a,-11.5,11.5,37.0,BOS CELTICS,-11.5
BASKETBALL,NBA,BKN NETS,SA SPURS,n/a,7.5,-7.5,-9.0,SA SPURS,-7.5
